#DGE	GSE52778_raw_counts_GRCh38.p13_NCBI	Treatment:Albuterol_Dexamethasone:Dexamethasone
gene_name	baseMean	log2FoldChange	pvalue	padj	Significance
145389	515.845008507912	0.236821116441912	0.00301042904474464	0.6827832800588	not_sign
5713	1494.26024692966	-0.245423799448824	0.0033981437053855	0.725304662150091	not_sign
5581	563.757960900254	0.883837334030588	0.00345543546588245	0.725304662150091	not_sign
2643	93.8140541849706	-1.07938909615882	0.00349846440471975	0.725304662150091	not_sign
7594	242.686359977157	0.478875751023741	0.00362967404267621	0.725304662150091	not_sign
85480	195.047021852949	1.79013084092355	0.00375490473097376	0.725304662150091	not_sign
143686	3988.28063864631	0.604190374653484	0.00379719815655295	0.725304662150091	not_sign
6091	2345.31299643256	0.981086461092075	0.00380387990981603	0.725304662150091	not_sign
688	158.652129018194	-1.83499245381856	0.00381462476192803	0.725304662150091	not_sign
143872	203.029858229944	1.24372248792284	0.00389335406871842	0.725304662150091	not_sign
